year,parent_entity,Stock Ticker,US_Company,parent_type,reporting_entity,commodity,production_value,production_unit,product_emissions_MtCO2,flaring_emissions_MtCO2,venting_emissions_MtCO2,own_fuel_use_emissions_MtCO2,fugitive_methane_emissions_MtCO2e,total_operational_emissions_MtCO2e,total_emissions_MtCO2e,source
2023,CEIX,ARCH,1,Investor-owned Company,Arch Resources,Metallurgical Coal,8.436904656,Million tonnes/yr,22.4885494,0,0,0,2.540516021,2.540516021,25.02906542,"Arch Resources Form 10-K for 2022, page 15."
2023,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Thermal Coal,2.630862742,Million tonnes/yr,5.600909471,0,0,0,0.632730906,0.632730906,6.233640377,"Arch Resources Form 10-K for 2022, page 15."
2023,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Sub-Bituminous Coal,56.97178628,Million tonnes/yr,103.3552207,0,0,0,11.67596849,11.67596849,115.0311892,"Arch Resources Form 10-K for 2022, page 15."
2022,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Metallurgical Coal,7.076113582,Million tonnes/yr,18.86136401,0,0,0,2.130755372,2.130755372,20.99211938,"Arch Resources Form 10-K for 2022, page 15."
2022,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Thermal Coal,3.900934411,Million tonnes/yr,8.304796802,0,0,0,0.938187206,0.938187206,9.242984008,"Arch Resources Form 10-K for 2022, page 15."
2022,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Sub-Bituminous Coal,59.96552664,Million tonnes/yr,108.7863072,0,0,0,12.2895146,12.2895146,121.0758218,"Arch Resources Form 10-K for 2022, page 15."
2021,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Metallurgical Coal,6.803955368,Million tonnes/yr,18.13592693,0,0,0,2.048803243,2.048803243,20.18473018,"Arch Resources Form 10-K for 2021, page 16."
2021,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Thermal Coal,2.721582147,Million tonnes/yr,5.79404428,0,0,0,0.654549213,0.654549213,6.448593494,"Arch Resources Form 10-K for 2021, page 16."
2021,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Sub-Bituminous Coal,56.42746985,Million tonnes/yr,102.3677505,0,0,0,11.56441465,11.56441465,113.9321651,"Arch Resources Form 10-K for 2021, page 16."
2020,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Metallurgical Coal,6.168919533,Million tonnes/yr,16.44324042,0,0,0,1.857581607,1.857581607,18.30082203,"Arch Resources Form 10-K for 2021, page 16."
2020,Arch Resources,ARCH,1,Investor-owned Company,Arch Resources,Thermal Coal,2.267985123,Million tonnes/yr,4.828370234,0,0,0,0.545457678,0.545457678,5.373827912,"Arch Resources Form 10-K for 2021, page 16."
